State,District,Village,Rainfall_Level,Humidity_Level,Flood_Risk,Air_Temperature_C,Water_pH,Turbidity,Dissolved_Oxygen,BOD,COD,Nitrate,Fecal_Coliform,Arsenic,Lead,Sanitation_Coverage(%),Sewage_Treatment_Quality,Wind_Speed_kmh,Solar_Radiation_Wm2,Land_Use_Type,Waste_Management_Quality,Population_Density_per_km2,Total_Dissolved_Solids,Chloride,Sulphate,Ammonia,Heavy_Metals_Index,Water_Temperature_C,Overall_Risk_Level
Arunachal Pradesh,Changlang,Changlang_Village_8,Very Low,Very Low,Moderate,18.7,8.38,9.67,4.26,0.36,0.45,29.64,174,0.05,0.018,93,Good,39.2,438.8,Rural,Poor,1974,1325.66,63.2,182.83,2.55,4.01,19.8,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_9,Moderate,Moderate,High,15.6,6.84,0.42,5.9,5.33,2.34,46.45,474,0.022,0.037,24,Good,4.3,97.4,Rural,Good,1733,733.99,121.31,183.31,2.28,0.69,15.0,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_10,High Risk,Very Low,High Risk,23.2,6.03,3.39,4.48,3.08,18.63,46.81,279,0.038,0.036,58,Good,18.8,431.7,Rural,Poor,1014,265.85,78.82,140.57,0.97,3.97,7.1,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_11,Low,Very Low,Moderate,28.6,7.93,0.05,3.27,2.43,9.66,42.4,63,0.008,0.025,8,Good,35.5,865.4,Rural,Good,3189,748.98,141.74,124.58,0.93,1.29,24.0,Low
Arunachal Pradesh,Changlang,Changlang_Village_12,High Risk,Very Low,Very Low,34.7,7.73,5.72,7.63,5.69,7.38,6.01,314,0.061,0.042,51,Good,10.3,788.7,Rural,Moderate,863,1325.57,165.24,268.43,2.69,1.41,31.8,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_13,Low,High,Low,32.9,7.06,5.11,3.98,3.68,6.57,17.11,483,0.095,0.042,35,Moderate,14.0,380.3,Agricultural,Moderate,3044,1485.73,240.04,155.69,0.08,1.62,17.3,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_14,Very Low,Low,Low,15.9,6.65,8.25,2.59,1.36,7.0,11.74,247,0.04,0.037,95,Poor,26.9,363.6,Agricultural,Moderate,446,1476.6,60.17,312.73,0.83,0.74,25.3,High
Arunachal Pradesh,Changlang,Changlang_Village_15,Moderate,Moderate,High,25.9,7.56,4.08,2.39,4.25,15.54,42.85,226,0.028,0.028,3,Poor,11.3,929.2,Urban,Moderate,367,996.46,3.32,194.8,1.79,0.39,22.3,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_16,Moderate,High,High,30.7,7.9,7.29,2.38,2.89,3.48,35.8,211,0.012,0.039,15,Good,11.9,806.6,Industrial,Good,823,251.77,107.03,388.64,1.74,1.44,29.7,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_17,Low,High,Low,12.4,7.49,6.16,3.02,5.73,19.44,16.72,234,0.002,0.033,94,Poor,6.1,870.3,Agricultural,Poor,1218,50.59,62.7,255.47,1.48,2.85,8.6,High
Arunachal Pradesh,Changlang,Changlang_Village_18,Very Low,Low,High Risk,16.4,8.46,1.81,7.55,0.54,3.06,6.73,372,0.052,0.01,22,Moderate,32.4,103.9,Urban,Moderate,1491,281.58,243.7,339.47,1.34,1.24,32.5,Moderate
Arunachal Pradesh,Changlang,Changlang_Village_19,High,Very Low,High,33.5,8.02,6.83,8.91,0.05,15.49,3.77,478,0.086,0.002,15,Moderate,37.8,597.4,Rural,Good,4113,720.38,217.04,238.1,1.73,4.85,7.2,High Risk
Arunachal Pradesh,Changlang,Changlang_Village_20,High Risk,High Risk,Moderate,12.2,6.17,4.68,7.26,3.38,1.32,10.49,184,0.034,0.038,0,Poor,29.6,57.7,Rural,Poor,3828,1449.23,101.56,129.7,0.03,2.3,34.3,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_1,High,Moderate,High,26.2,6.48,0.53,9.22,0.29,16.19,48.04,345,0.028,0.022,83,Poor,8.3,131.9,Urban,Poor,4618,720.99,126.78,356.65,0.66,2.19,7.3,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_2,High Risk,Moderate,Low,14.1,7.74,6.58,5.72,5.91,17.13,26.23,38,0.073,0.002,58,Moderate,21.7,626.1,Industrial,Good,3559,590.97,124.22,33.96,1.38,3.75,10.2,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_3,High Risk,Very Low,High,17.3,8.27,6.52,3.39,4.3,10.68,4.36,286,0.025,0.031,19,Good,23.5,288.3,Urban,Moderate,4387,692.45,136.34,71.22,2.4,0.49,15.0,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_4,Very Low,High,High,16.8,8.34,9.84,9.06,5.45,14.69,24.69,391,0.018,0.027,78,Poor,37.9,759.5,Urban,Moderate,4572,295.63,221.18,39.85,1.53,0.78,31.7,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_5,Very Low,High Risk,Very Low,34.8,6.62,2.56,4.81,5.79,10.21,29.26,358,0.096,0.011,74,Good,40.0,60.8,Industrial,Moderate,633,1273.01,184.21,397.13,0.5,3.27,22.0,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_6,Moderate,Low,Low,20.0,7.61,2.24,9.1,2.68,5.89,28.46,50,0.086,0.008,24,Poor,28.7,412.0,Agricultural,Poor,4587,98.73,240.09,285.9,0.36,1.06,34.7,Low
Arunachal Pradesh,Tirap,Tirap_Village_7,Moderate,Moderate,High,26.1,6.36,3.29,6.02,2.38,16.08,4.97,43,0.022,0.034,80,Moderate,7.6,663.1,Industrial,Poor,2242,586.14,124.31,368.98,2.87,2.69,34.9,High
Arunachal Pradesh,Tirap,Tirap_Village_8,High,High,Low,34.8,7.56,1.27,5.18,2.06,19.67,29.33,389,0.012,0.005,61,Moderate,28.4,819.0,Agricultural,Poor,2762,707.57,196.92,132.46,1.02,3.79,21.1,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_9,High Risk,Very Low,High Risk,34.5,8.27,3.93,2.27,5.05,3.22,9.54,209,0.051,0.03,23,Good,16.8,195.0,Rural,Good,3829,1342.51,192.85,192.55,0.76,2.56,8.3,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_10,High Risk,High,High,18.6,6.17,2.67,5.02,0.85,19.86,4.7,254,0.06,0.018,89,Moderate,16.2,95.2,Urban,Poor,247,1134.88,12.13,262.07,2.46,2.76,27.9,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_11,High,Very Low,Low,20.9,7.53,4.95,9.6,1.78,15.25,18.14,39,0.032,0.027,65,Poor,29.8,952.0,Urban,Poor,4774,1102.15,199.3,22.45,0.01,0.62,19.9,Moderate
Arunachal Pradesh,Tirap,Tirap_Village_12,Very Low,Moderate,Low,29.5,6.25,7.26,2.88,4.86,19.84,29.47,339,0.005,0.036,27,Moderate,37.5,960.4,Industrial,Good,2256,1379.55,219.61,130.08,1.71,3.93,21.6,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_13,Very Low,Moderate,High,23.8,8.39,3.24,9.88,0.8,10.68,4.47,129,0.055,0.031,45,Moderate,38.3,391.2,Agricultural,Poor,2042,374.2,194.88,200.57,0.53,2.74,20.7,Moderate
Arunachal Pradesh,Tirap,Tirap_Village_14,Very Low,High,Very Low,21.1,7.15,9.01,9.35,4.76,18.76,23.25,284,0.093,0.011,70,Moderate,39.4,269.1,Agricultural,Poor,309,250.96,148.57,335.08,1.1,0.83,18.8,High
Arunachal Pradesh,Tirap,Tirap_Village_15,Low,Moderate,High,30.2,6.96,1.16,4.78,2.21,19.3,40.09,268,0.008,0.045,65,Good,8.7,128.2,Rural,Good,1252,1401.1,182.61,274.23,2.26,0.03,7.3,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_16,Very Low,Low,Very Low,18.6,6.56,6.07,9.05,5.29,4.02,11.59,224,0.026,0.026,89,Poor,36.2,230.4,Industrial,Poor,1066,1295.86,105.56,118.19,1.5,0.86,11.8,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_17,Low,High Risk,High Risk,17.5,6.9,8.62,9.22,5.18,0.28,28.4,411,0.028,0.024,23,Good,31.0,70.6,Industrial,Good,1221,704.87,90.64,196.94,0.51,2.96,22.4,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_18,Moderate,Very Low,Low,34.0,7.02,5.23,5.97,5.52,5.09,43.98,165,0.073,0.034,84,Good,38.8,778.4,Agricultural,Good,2243,218.65,41.63,108.92,1.89,2.84,23.3,High Risk
Arunachal Pradesh,Tirap,Tirap_Village_19,Low,Very Low,Moderate,30.6,6.43,4.92,5.98,2.2,12.8,12.36,115,0.013,0.049,5,Poor,17.2,770.0,Industrial,Moderate,1223,952.54,31.09,274.28,1.14,0.97,24.6,Moderate
Arunachal Pradesh,Tirap,Tirap_Village_20,Low,High,High Risk,19.6,6.47,0.7,7.56,4.62,18.75,19.7,26,0.007,0.01,40,Poor,10.9,548.0,Agricultural,Poor,679,377.46,200.13,54.18,2.05,2.26,15.1,High
Arunachal Pradesh,Longding,Longding_Village_1,Moderate,Moderate,Very Low,22.7,7.31,9.25,9.46,4.93,5.3,33.73,247,0.072,0.041,26,Moderate,10.9,340.1,Industrial,Poor,4856,1358.39,33.28,147.08,0.31,0.92,28.7,High Risk
Arunachal Pradesh,Longding,Longding_Village_2,Very Low,High,High,13.2,7.29,8.1,8.51,5.8,14.69,6.52,337,0.085,0.05,38,Good,35.3,347.3,Agricultural,Good,1514,942.52,51.8,116.84,2.25,0.42,10.1,High Risk
Arunachal Pradesh,Longding,Longding_Village_3,High Risk,High,High,22.7,7.68,8.85,5.39,2.95,5.85,45.95,404,0.034,0.047,12,Good,29.4,889.1,Industrial,Good,2130,1330.83,172.26,130.44,1.56,3.72,8.0,High Risk
Arunachal Pradesh,Longding,Longding_Village_4,Moderate,High Risk,High,30.0,8.03,3.17,4.13,0.11,15.27,33.49,304,0.07,0.002,33,Poor,12.1,634.4,Industrial,Poor,805,1377.25,92.43,85.46,0.52,0.93,25.0,High
Arunachal Pradesh,Longding,Longding_Village_5,Low,High Risk,High Risk,21.3,6.52,0.45,5.51,1.56,6.73,32.38,10,0.069,0.049,48,Poor,25.1,323.5,Industrial,Good,2213,807.18,135.67,180.24,1.77,0.06,13.7,High
Arunachal Pradesh,Longding,Longding_Village_6,High,Low,Moderate,34.7,8.32,6.91,7.69,4.19,7.85,47.75,422,0.003,0.018,1,Poor,2.9,465.9,Rural,Good,3287,721.05,77.74,343.52,2.16,2.77,16.7,High Risk
Arunachal Pradesh,Longding,Longding_Village_7,High,Moderate,Low,23.7,6.66,4.27,5.22,3.76,12.87,9.54,397,0.026,0.01,97,Good,6.2,75.2,Industrial,Moderate,2230,808.58,208.78,170.5,1.86,1.62,14.0,High Risk
Arunachal Pradesh,Longding,Longding_Village_8,High Risk,Moderate,Very Low,19.4,6.38,9.21,7.55,0.54,7.12,40.0,361,0.084,0.041,68,Moderate,18.0,469.1,Rural,Good,1555,393.2,190.29,107.15,2.92,1.19,26.5,High Risk
Arunachal Pradesh,Longding,Longding_Village_9,Low,High Risk,High,27.0,6.78,7.47,3.01,3.5,19.01,47.26,462,0.062,0.045,40,Moderate,24.2,583.5,Urban,Good,2464,437.46,238.23,339.69,1.41,1.67,19.6,High Risk
Arunachal Pradesh,Longding,Longding_Village_10,High Risk,Moderate,Moderate,28.9,8.22,1.48,8.81,4.29,8.67,14.79,447,0.048,0.013,98,Moderate,2.6,623.4,Urban,Good,2209,790.08,22.92,118.02,0.18,2.92,31.3,High Risk
Arunachal Pradesh,Longding,Longding_Village_11,High Risk,Moderate,Low,33.9,7.8,6.73,8.71,4.13,7.37,19.94,433,0.012,0.05,31,Poor,12.1,176.5,Urban,Moderate,3871,1352.56,206.99,49.54,0.78,1.48,29.6,High Risk
Arunachal Pradesh,Longding,Longding_Village_12,Moderate,Very Low,High,20.0,7.6,7.04,4.17,0.63,6.39,48.24,286,0.038,0.033,96,Moderate,19.7,901.2,Rural,Poor,2274,1212.12,240.48,196.77,1.55,4.12,21.1,High Risk
Arunachal Pradesh,Longding,Longding_Village_13,Very Low,High,Very Low,33.6,7.07,1.25,5.41,2.4,9.24,43.73,105,0.063,0.038,93,Moderate,5.8,706.2,Urban,Moderate,2244,666.78,164.39,1.79,2.17,0.99,9.7,High
Arunachal Pradesh,Longding,Longding_Village_14,High Risk,Moderate,Low,28.3,8.36,2.97,5.22,0.51,19.46,44.45,472,0.021,0.004,34,Poor,9.8,561.1,Urban,Poor,3985,466.09,67.99,326.15,0.35,2.61,34.9,Moderate
Arunachal Pradesh,Longding,Longding_Village_15,High,Very Low,Very Low,26.6,7.32,2.25,3.25,3.65,1.26,25.55,175,0.078,0.005,22,Moderate,28.9,205.0,Rural,Poor,3895,675.5,237.01,356.85,2.1,0.42,9.9,High Risk
Arunachal Pradesh,Longding,Longding_Village_16,Low,Moderate,Very Low,15.8,7.3,4.8,9.2,0.92,5.55,21.71,322,0.021,0.032,60,Poor,9.1,578.8,Agricultural,Poor,764,1020.28,79.24,17.15,1.4,1.17,23.3,Moderate
Arunachal Pradesh,Longding,Longding_Village_17,Moderate,Low,Low,15.0,8.11,1.91,9.38,4.64,8.14,47.14,143,0.09,0.013,39,Good,1.6,751.1,Rural,Moderate,1154,358.93,88.47,204.65,1.5,4.89,18.4,High
Arunachal Pradesh,Longding,Longding_Village_18,High,Low,High Risk,22.1,6.62,6.02,3.3,3.39,5.36,11.09,136,0.04,0.012,54,Poor,21.4,316.3,Urban,Moderate,4536,465.22,180.94,270.46,0.44,1.94,21.8,High Risk
Arunachal Pradesh,Longding,Longding_Village_19,High Risk,Moderate,Very Low,29.9,8.02,4.05,8.59,2.33,0.21,43.81,192,0.058,0.02,30,Good,22.5,746.2,Agricultural,Good,4993,357.76,119.55,343.67,0.64,3.22,22.8,High
Arunachal Pradesh,Longding,Longding_Village_20,High,Very Low,High,14.7,6.81,7.72,5.08,4.56,10.13,16.85,384,0.08,0.02,73,Poor,1.5,682.9,Agricultural,Poor,1583,1440.63,104.96,381.91,1.47,0.16,31.6,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_1,Moderate,Very Low,Low,13.9,7.45,3.15,3.53,0.1,5.98,8.93,78,0.069,0.031,91,Poor,32.1,920.5,Rural,Moderate,4206,423.79,148.72,337.56,2.42,2.0,15.8,Very Low
Arunachal Pradesh,Anjaw,Anjaw_Village_2,Low,Low,High,31.6,8.38,2.62,8.47,4.52,14.25,0.11,179,0.002,0.028,26,Good,2.7,69.6,Industrial,Poor,1287,208.48,157.7,39.47,1.91,3.61,10.8,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_3,High,Moderate,Moderate,11.7,6.94,9.17,6.57,5.99,1.77,8.03,328,0.072,0.037,66,Poor,30.5,877.4,Rural,Poor,160,1012.22,97.25,74.12,1.66,4.06,10.4,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_4,High Risk,High,Moderate,10.3,7.07,0.08,9.41,1.25,8.95,29.02,358,0.013,0.001,2,Moderate,30.1,413.0,Industrial,Good,4733,651.82,201.87,194.46,0.01,1.74,26.3,High
Arunachal Pradesh,Anjaw,Anjaw_Village_5,High Risk,Very Low,High,31.0,7.44,9.81,3.65,5.39,18.78,13.23,384,0.049,0.023,21,Good,9.0,742.8,Rural,Good,2226,282.7,1.01,9.35,1.99,1.71,6.8,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_6,Low,Low,Moderate,24.0,8.2,9.01,4.49,3.39,17.31,37.94,17,0.018,0.047,22,Poor,33.2,443.6,Industrial,Good,944,1464.6,21.1,178.2,1.61,3.49,18.7,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_7,Low,Very Low,Low,10.0,6.44,7.73,4.17,5.2,8.96,41.69,78,0.072,0.019,7,Poor,6.6,982.0,Urban,Poor,4567,1272.35,132.06,177.56,0.39,0.56,20.2,High
Arunachal Pradesh,Anjaw,Anjaw_Village_8,Moderate,Low,Very Low,22.9,6.92,5.44,7.57,5.07,10.92,24.57,266,0.043,0.044,10,Good,31.4,807.7,Industrial,Moderate,1668,59.29,50.41,232.87,2.45,1.89,8.1,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_9,Low,Very Low,High,29.9,8.17,1.71,4.25,2.55,6.52,35.47,435,0.04,0.018,96,Moderate,20.2,619.6,Industrial,Moderate,754,695.95,101.07,393.57,3.0,4.14,22.9,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_10,Moderate,High,Low,10.6,7.07,4.28,6.24,4.54,5.14,14.84,330,0.067,0.023,57,Poor,29.7,244.6,Rural,Moderate,1809,625.45,41.28,125.93,0.8,1.05,6.2,High
Arunachal Pradesh,Anjaw,Anjaw_Village_11,High Risk,Very Low,High Risk,16.6,6.54,5.71,8.45,2.72,9.09,21.92,110,0.049,0.024,65,Moderate,18.6,838.6,Rural,Poor,1884,479.66,210.96,62.69,1.81,1.09,15.4,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_12,Very Low,High Risk,High,25.5,6.81,8.44,9.01,1.35,13.73,13.83,299,0.079,0.022,57,Poor,29.9,378.6,Agricultural,Good,383,983.59,151.83,158.5,2.08,0.19,8.7,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_13,High Risk,High Risk,High,21.7,7.5,2.61,8.77,2.42,4.95,12.39,336,0.035,0.032,34,Good,4.7,479.3,Rural,Good,2268,706.17,191.99,374.58,0.58,1.08,30.8,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_14,Low,Low,Moderate,30.7,7.45,7.8,9.38,2.23,1.29,42.95,489,0.098,0.019,25,Good,16.8,493.1,Agricultural,Poor,4054,679.76,106.61,198.7,2.58,4.4,5.4,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_15,Low,Moderate,Low,34.1,7.74,3.41,7.15,2.16,16.8,26.09,109,0.005,0.018,55,Good,19.9,810.5,Agricultural,Good,4243,1065.1,93.5,147.16,0.82,4.96,26.4,High
Arunachal Pradesh,Anjaw,Anjaw_Village_16,High,High,High Risk,10.6,8.02,7.22,8.69,1.1,1.31,4.02,102,0.075,0.048,38,Moderate,33.4,599.8,Agricultural,Good,4597,279.52,97.51,84.43,1.73,4.59,8.6,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_17,Moderate,Very Low,Moderate,26.6,7.12,8.98,4.32,2.59,13.76,24.66,376,0.032,0.021,25,Moderate,24.9,840.9,Industrial,Good,4528,1404.42,110.45,206.51,1.15,3.91,17.8,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_18,High Risk,High Risk,Very Low,33.4,7.18,1.14,9.29,3.32,5.31,14.38,413,0.042,0.01,76,Good,1.7,622.5,Urban,Good,199,914.95,77.35,184.53,1.37,3.22,19.4,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_19,Very Low,Low,Moderate,28.1,7.26,5.66,3.05,4.06,0.2,10.64,360,0.096,0.008,49,Good,10.9,290.9,Agricultural,Poor,1928,720.32,248.55,330.94,1.63,3.74,33.6,High Risk
Arunachal Pradesh,Anjaw,Anjaw_Village_20,High,Very Low,High,28.6,8.2,3.32,2.66,3.3,0.98,21.96,434,0.025,0.03,52,Poor,10.3,473.0,Industrial,Poor,2444,281.59,132.54,188.98,1.17,3.88,30.7,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_1,Moderate,High,High Risk,23.2,7.64,6.0,6.2,1.62,8.79,23.14,88,0.076,0.014,86,Poor,0.9,275.8,Urban,Good,1464,673.73,198.15,72.01,0.38,3.75,12.4,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_2,Moderate,Very Low,High,21.1,7.96,8.54,2.16,3.08,8.49,44.6,474,0.065,0.034,2,Good,20.8,704.2,Industrial,Poor,4807,1463.07,66.22,213.76,1.7,2.74,22.1,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_3,Very Low,Very Low,Moderate,25.3,6.23,3.59,7.16,4.22,14.0,9.42,467,0.093,0.039,80,Moderate,18.5,849.3,Industrial,Moderate,4647,839.17,62.72,134.52,0.14,0.06,23.1,High
Arunachal Pradesh,Lohit,Lohit_Village_4,Low,Moderate,Low,10.3,7.96,9.69,6.54,2.0,13.1,13.67,100,0.054,0.012,74,Good,17.3,503.0,Rural,Moderate,2424,504.68,17.25,356.28,0.25,3.06,28.9,High
Arunachal Pradesh,Lohit,Lohit_Village_5,High Risk,Moderate,Very Low,18.2,7.74,1.93,6.65,2.38,5.37,34.19,398,0.068,0.032,66,Good,4.0,59.8,Industrial,Poor,615,600.6,43.44,1.38,0.75,3.53,19.7,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_6,Very Low,Moderate,Moderate,27.2,6.23,7.87,9.77,0.57,19.54,38.54,293,0.067,0.017,99,Poor,29.7,868.4,Agricultural,Poor,726,870.3,240.53,284.63,2.51,4.5,34.1,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_7,Low,High Risk,High Risk,34.7,6.66,5.59,2.67,5.17,16.17,41.63,240,0.01,0.02,35,Moderate,19.2,670.7,Urban,Moderate,4001,924.35,175.32,290.49,2.79,0.44,32.3,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_8,High,High Risk,Moderate,12.2,6.71,5.62,2.78,0.76,9.94,32.87,475,0.097,0.05,73,Poor,13.3,922.3,Agricultural,Good,1773,489.33,119.96,61.77,2.54,3.44,30.6,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_9,Very Low,Very Low,Moderate,24.8,8.2,9.73,7.43,1.98,19.75,18.72,38,0.03,0.009,82,Moderate,8.8,239.6,Industrial,Moderate,1421,1141.07,238.96,144.85,0.81,4.23,7.6,High
Arunachal Pradesh,Lohit,Lohit_Village_10,High Risk,Moderate,Very Low,15.2,6.37,7.56,8.55,2.93,5.49,49.06,383,0.049,0.045,31,Moderate,35.6,138.5,Industrial,Good,2896,1157.69,86.33,309.57,1.88,3.59,6.6,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_11,Moderate,Low,Moderate,29.9,6.31,5.39,6.82,1.22,15.88,41.99,185,0.001,0.024,4,Good,39.3,692.8,Urban,Good,4204,1225.42,20.27,320.17,0.57,1.43,16.9,High
Arunachal Pradesh,Lohit,Lohit_Village_12,High Risk,High Risk,High,25.2,8.17,6.59,7.5,2.81,8.06,29.79,95,0.059,0.012,89,Moderate,27.7,640.6,Urban,Moderate,2116,831.13,212.43,38.15,1.97,0.91,15.8,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_13,Moderate,High,High,31.8,7.33,5.69,5.5,2.44,9.45,36.75,70,0.008,0.019,1,Poor,34.1,465.3,Urban,Good,3124,936.83,110.71,30.3,2.81,1.82,8.7,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_14,High Risk,Very Low,Very Low,24.3,7.06,8.92,8.14,3.56,18.87,17.39,308,0.079,0.01,12,Poor,15.1,547.7,Rural,Moderate,1882,1082.38,25.1,176.72,2.46,2.92,14.6,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_15,Very Low,High,Very Low,24.6,7.7,2.66,2.85,1.11,8.0,47.62,272,0.083,0.021,70,Moderate,1.7,161.0,Industrial,Poor,2302,478.87,236.65,18.46,1.81,0.26,32.9,Moderate
Arunachal Pradesh,Lohit,Lohit_Village_16,Low,High Risk,Moderate,33.1,7.93,1.3,3.34,2.68,17.5,5.77,94,0.1,0.013,79,Poor,24.9,314.5,Rural,Moderate,4151,577.93,161.94,204.98,2.57,3.38,25.4,High
Arunachal Pradesh,Lohit,Lohit_Village_17,High Risk,Very Low,High Risk,15.5,7.32,9.01,5.28,3.47,12.26,8.62,329,0.023,0.017,84,Good,21.2,305.5,Rural,Poor,451,767.59,21.58,216.15,1.49,0.06,5.9,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_18,Moderate,Low,High,20.2,8.29,0.6,7.59,1.31,3.75,14.82,101,0.043,0.041,61,Poor,32.3,403.6,Industrial,Moderate,3995,122.74,142.75,137.02,1.69,1.88,30.0,High
Arunachal Pradesh,Lohit,Lohit_Village_19,High,Very Low,Low,10.8,7.81,8.96,9.42,4.77,0.95,43.4,323,0.063,0.048,89,Moderate,34.0,254.7,Industrial,Good,3584,328.11,220.35,48.31,2.4,4.96,23.5,High Risk
Arunachal Pradesh,Lohit,Lohit_Village_20,High,High Risk,High Risk,26.2,6.99,2.04,4.96,0.69,2.0,24.56,135,0.04,0.032,15,Good,29.6,637.0,Agricultural,Good,316,1477.94,216.77,17.16,2.41,3.7,5.1,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_1,Moderate,Moderate,Low,11.8,7.33,1.0,4.37,1.55,12.42,22.63,473,0.051,0.01,21,Poor,34.8,660.7,Agricultural,Good,3405,979.3,187.55,151.8,1.41,4.7,12.2,High
Arunachal Pradesh,Namsai,Namsai_Village_2,Low,Very Low,Moderate,21.2,6.06,7.41,8.63,4.69,19.85,29.79,464,0.073,0.02,65,Good,16.0,695.0,Agricultural,Poor,776,1237.37,94.23,196.02,1.22,1.68,25.0,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_3,Low,High,High,16.3,7.93,4.08,7.42,2.69,17.55,1.3,12,0.016,0.035,9,Poor,7.2,373.4,Agricultural,Moderate,1053,1246.22,82.42,131.95,2.79,3.31,5.6,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_4,High Risk,Moderate,High,16.4,8.17,6.22,8.76,4.9,18.32,9.68,482,0.009,0.034,6,Poor,5.2,725.4,Industrial,Poor,2676,891.15,208.8,370.12,1.32,1.8,29.8,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_5,High Risk,High,Low,26.8,8.36,1.14,4.45,2.78,11.85,18.83,97,0.081,0.044,6,Poor,21.7,53.8,Urban,Good,3150,676.44,170.16,163.61,0.72,2.71,18.3,Moderate
Arunachal Pradesh,Namsai,Namsai_Village_6,Moderate,Very Low,High,16.1,6.34,9.98,7.4,1.43,1.29,29.14,1,0.064,0.025,24,Poor,30.7,724.8,Urban,Moderate,2435,378.0,133.79,13.31,0.41,0.98,15.9,Moderate
Arunachal Pradesh,Namsai,Namsai_Village_7,Low,Moderate,High,34.3,7.28,2.57,8.6,5.97,10.24,13.88,231,0.06,0.044,13,Moderate,32.1,345.9,Rural,Poor,2383,603.88,210.16,184.45,1.31,1.36,19.7,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_8,Very Low,Moderate,Very Low,30.1,7.1,8.36,7.3,1.79,15.88,1.73,440,0.075,0.031,72,Good,18.2,410.3,Urban,Good,3182,576.84,20.65,303.55,2.46,1.1,7.3,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_9,Very Low,Moderate,Very Low,20.3,8.21,7.07,4.31,1.37,17.93,27.44,61,0.046,0.039,59,Good,9.5,653.1,Rural,Good,861,139.18,115.67,398.98,1.07,1.19,24.7,Very Low
Arunachal Pradesh,Namsai,Namsai_Village_10,Low,High,Moderate,14.9,6.08,9.8,4.17,5.94,7.0,48.22,200,0.067,0.003,26,Good,29.4,761.3,Agricultural,Moderate,2234,1485.93,161.28,266.52,0.64,1.59,31.9,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_11,High,Very Low,High,30.5,6.05,7.35,8.42,4.62,15.07,14.36,353,0.064,0.007,100,Good,21.1,287.3,Urban,Poor,3268,801.54,97.27,330.12,0.53,4.5,28.0,High Risk
Arunachal Pradesh,Namsai,Namsai_Village_12,Moderate,Moderate,High Risk,18.1,7.75,4.22,7.47,3.17,2.63,35.7,339,0.025,0.048,16,Moderate,26.6,150.8,Industrial,Good,4131,67.58,181.26,203.86,0.31,2.47,23.1,High
