State,District,Village,Population,Pin_Code,Leptospirosis,Norovirus,Legionnaires_Disease,Dysentery_Bacillary,Typhoid_Fever,Rotavirus,Cholera,Giardiasis,Dysentery_Amoebic,Hepatitis_E,Hepatitis_A,Schistosomiasis,Cryptosporidiosis,Acute_Diarrhoeal_Disease,Poliomyelitis,E_coli_Diarrhea,Total_Patients
Arunachal Pradesh,Kamle,Kamle_Village_3,5071,717113,3,6,0,8,3,16,4,6,7,0,0,0,3,11,0,7,74
Assam,Bajali,Bajali_Village_2,539,901909,0,0,0,0,1,1,0,0,2,1,0,0,0,6,0,3,14
Assam,Charaideo,Charaideo_Village_4,9617,410244,7,19,0,17,10,17,4,11,7,0,5,1,5,59,1,14,177
Nagaland,Wokha,Wokha_Village_14,4478,787991,1,1,0,8,3,5,6,3,5,3,4,0,2,20,0,8,69
Assam,Kamrup,Kamrup_Village_15,9436,896788,3,13,0,11,8,15,3,15,8,1,1,0,6,47,0,26,157
Arunachal Pradesh,Namsai,Namsai_Village_19,7171,882169,3,17,0,9,9,26,9,12,10,0,2,1,1,24,0,10,133
Sikkim,West Sikkim,West Sikkim_Village_13,3409,296653,1,4,0,5,3,7,2,4,2,2,0,0,2,21,0,8,61
Meghalaya,East Jaintia Hills,East Jaintia Hills_Village_19,4255,898462,1,10,0,7,3,8,2,4,4,0,2,0,2,19,0,10,72
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_7,1131,632496,1,3,0,0,2,3,0,1,0,1,0,0,1,3,0,2,17
Assam,Kokrajhar,Kokrajhar_Village_10,5270,947903,4,13,2,8,6,10,2,8,5,2,0,0,7,30,0,20,117
Arunachal Pradesh,East Kameng,East Kameng_Village_10,725,944151,0,2,0,1,0,0,0,1,0,0,0,1,0,2,0,1,8
Sikkim,West Sikkim,West Sikkim_Village_12,4366,740524,1,13,1,5,4,7,2,1,3,1,0,0,1,28,0,6,73
Assam,Biswanath,Biswanath_Village_3,9103,495533,6,21,0,12,12,31,9,7,6,6,3,1,7,44,0,18,183
Arunachal Pradesh,East Kameng,East Kameng_Village_9,1116,340174,0,1,0,0,1,5,0,1,4,0,0,0,0,4,1,3,20
Meghalaya,East Jaintia Hills,East Jaintia Hills_Village_13,6943,162165,2,15,0,14,1,20,11,4,5,1,1,0,4,37,0,16,131
Assam,Lakhimpur,Lakhimpur_Village_5,2242,398910,0,4,0,6,4,2,1,3,4,1,0,0,3,13,0,2,43
Nagaland,Phek,Phek_Village_14,8155,699809,7,18,1,11,8,23,8,6,12,2,4,0,4,43,0,20,167
Meghalaya,Eastern West Khasi Hills,Eastern West Khasi Hills_Village_1,9004,827117,6,18,0,17,10,22,4,14,17,1,3,1,7,44,0,17,181
Arunachal Pradesh,West Kameng,West Kameng_Village_6,7727,662275,3,15,0,11,4,22,7,11,11,3,6,0,0,35,0,18,146
Assam,Nalbari,Nalbari_Village_14,1880,183958,1,6,0,5,4,3,1,1,4,0,1,0,0,4,0,4,34
Meghalaya,West Jaintia Hills,West Jaintia Hills_Village_2,8315,676429,4,13,0,23,7,26,6,7,7,1,3,2,4,39,1,18,161
Meghalaya,Ri Bhoi,Ri Bhoi_Village_13,5203,222629,1,5,0,8,9,10,4,5,9,0,0,0,4,28,0,14,97
Tripura,Dhalai,Dhalai_Village_11,3387,624788,1,5,0,3,7,13,2,1,1,0,0,0,2,22,0,5,62
Arunachal Pradesh,Longding,Longding_Village_2,6411,443254,1,9,1,12,5,13,7,7,6,1,1,1,3,39,0,15,121
Tripura,Khowai,Khowai_Village_15,3287,272892,1,5,0,2,5,5,4,6,3,0,0,0,1,16,0,7,55
Manipur,Jiribam,Jiribam_Village_17,6842,819400,1,12,0,13,9,15,4,7,9,1,1,0,3,38,0,7,120
Mizoram,Serchhip,Serchhip_Village_11,2782,946826,2,8,0,2,2,5,2,4,3,0,0,0,0,24,0,7,59
Sikkim,South Sikkim,South Sikkim_Village_13,8070,711116,5,15,0,11,5,14,9,11,12,3,2,1,4,35,0,11,138
Nagaland,Chümoukedima,Chümoukedima_Village_14,1256,307356,0,4,0,3,1,3,0,1,0,0,0,0,0,4,0,2,18
Nagaland,Tuensang,Tuensang_Village_20,5913,581294,2,5,0,9,3,18,8,5,11,1,2,1,6,35,0,9,115
Assam,Morigaon,Morigaon_Village_12,533,509420,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,6
Assam,West Karbi Anglong,West Karbi Anglong_Village_20,8481,579441,1,16,1,13,12,18,4,9,8,2,3,0,6,37,0,15,145
Arunachal Pradesh,Upper Siang,Upper Siang_Village_1,5200,960394,1,14,1,8,8,20,4,4,4,0,2,0,1,28,0,9,104
Meghalaya,South West Garo Hills,South West Garo Hills_Village_18,7557,726979,4,14,2,9,6,19,9,8,7,0,4,0,5,45,0,15,147
Meghalaya,South West Garo Hills,South West Garo Hills_Village_1,6361,393916,2,11,0,10,13,20,2,8,10,3,2,0,4,40,0,13,138
Meghalaya,East Garo Hills,East Garo Hills_Village_12,2492,928897,4,5,0,7,3,6,1,4,1,1,0,0,2,13,0,3,50
Manipur,Chandel,Chandel_Village_20,8211,432441,6,18,0,13,11,21,8,11,6,0,1,0,7,43,0,16,161
Arunachal Pradesh,Tirap,Tirap_Village_11,5707,801364,3,11,0,7,3,14,6,11,11,1,2,1,2,29,0,10,111
Tripura,North Tripura,North Tripura_Village_5,996,722774,1,1,0,1,1,3,2,3,0,0,0,0,0,6,2,1,21
Manipur,Noney,Noney_Village_11,924,521805,0,3,0,1,0,2,0,1,1,0,0,0,4,4,0,3,19
Meghalaya,Eastern West Khasi Hills,Eastern West Khasi Hills_Village_13,8256,535820,2,17,2,10,9,20,6,7,14,2,0,0,6,48,0,15,158
Assam,Darrang,Darrang_Village_16,9007,242254,4,24,0,13,9,17,9,8,8,5,4,0,3,57,0,22,183
Sikkim,Soreng,Soreng_Village_20,5134,614379,1,10,1,8,2,13,1,5,4,2,3,0,3,27,0,6,86
Assam,Kamrup,Kamrup_Village_8,2619,347745,2,3,0,4,2,8,1,3,0,0,0,0,0,15,1,4,43
Assam,Goalpara,Goalpara_Village_13,7970,170394,7,12,0,19,11,22,8,6,12,1,4,0,2,40,0,3,147
Assam,Jorhat,Jorhat_Village_17,7338,717476,1,14,1,12,7,17,11,9,10,1,4,0,6,34,0,14,141
Nagaland,Mon,Mon_Village_19,2903,736818,1,4,0,8,1,9,3,3,7,1,0,0,3,18,0,6,64
Tripura,Unakoti,Unakoti_Village_2,2932,218548,3,5,0,3,2,10,2,2,3,0,1,1,0,6,1,4,43
Assam,Darrang,Darrang_Village_14,8271,221761,6,22,0,11,11,16,14,8,10,1,6,1,1,48,1,13,169
Assam,South Salmara-Mankachar,South Salmara-Mankachar_Village_17,2253,432427,0,4,0,7,2,5,1,2,2,1,0,0,0,14,0,4,42
Mizoram,Khawzawl,Khawzawl_Village_1,2888,561477,1,7,0,4,3,10,3,5,4,1,1,0,3,15,0,6,63
Nagaland,Kiphire,Kiphire_Village_16,3794,703656,2,6,0,7,3,9,4,5,2,0,1,0,2,29,0,13,83
Assam,Jorhat,Jorhat_Village_1,9354,973835,4,15,1,14,7,33,10,6,11,3,1,0,3,44,0,15,167
Tripura,Dhalai,Dhalai_Village_16,2670,244037,2,7,0,2,6,1,1,2,6,1,0,0,1,19,0,8,56
Nagaland,Mokokchung,Mokokchung_Village_18,6523,559507,7,10,0,10,1,23,5,7,7,2,4,1,3,40,0,15,135
Assam,Bongaigaon,Bongaigaon_Village_14,1846,565230,0,4,1,2,0,7,1,2,1,0,0,0,0,11,0,3,32
Tripura,South Tripura,South Tripura_Village_17,6757,578715,7,13,2,17,10,17,6,5,6,1,1,1,4,42,0,18,150
Sikkim,Pakyong,Pakyong_Village_5,4305,253541,1,11,0,5,5,18,3,2,5,1,1,0,0,26,0,9,87
Arunachal Pradesh,Kra Daadi,Kra Daadi_Village_4,9034,238739,5,27,0,13,12,25,8,6,14,1,2,1,1,54,0,22,191
Mizoram,Saiha,Saiha_Village_8,8283,910143,3,13,2,9,12,24,3,16,10,1,2,0,5,38,0,14,152
Meghalaya,South West Khasi Hills,South West Khasi Hills_Village_5,7770,343118,2,18,0,11,6,15,8,8,10,0,2,1,3,36,0,15,135
Arunachal Pradesh,Lohit,Lohit_Village_7,9017,912270,5,14,1,15,5,29,7,8,10,1,0,0,7,45,0,13,160
Nagaland,Longleng,Longleng_Village_16,5025,233534,2,12,1,6,7,13,8,6,13,1,1,0,7,25,0,9,111
Mizoram,Champhai,Champhai_Village_16,2911,154302,1,5,0,9,3,2,0,1,4,0,0,0,2,9,0,8,44
Sikkim,Pakyong,Pakyong_Village_14,4912,826596,2,15,0,6,2,15,3,3,4,1,4,0,2,30,0,10,97
Arunachal Pradesh,Kamle,Kamle_Village_18,4832,837135,3,6,0,8,8,13,3,5,2,0,2,0,1,22,0,9,82
Tripura,Khowai,Khowai_Village_7,2936,168458,1,5,1,1,7,5,2,1,1,0,0,0,2,18,0,5,49
Arunachal Pradesh,Tirap,Tirap_Village_3,5963,413118,4,11,0,6,3,22,5,2,9,1,0,1,4,17,0,16,101
Mizoram,Lawngtlai,Lawngtlai_Village_1,7006,544150,4,11,2,6,10,19,4,7,10,2,4,0,3,38,0,16,136
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_20,6491,618392,5,11,1,14,14,10,2,4,9,0,2,0,4,33,0,6,115
Assam,Dhemaji,Dhemaji_Village_1,2731,535037,2,4,1,2,5,13,3,1,4,1,1,0,1,24,0,4,66
Meghalaya,East Garo Hills,East Garo Hills_Village_20,4678,921609,1,4,1,7,5,14,2,5,4,2,2,0,4,22,2,11,86
Sikkim,North Sikkim,North Sikkim_Village_3,2405,623059,1,3,0,7,4,9,3,5,4,1,0,0,2,9,0,4,52
Assam,Hailakandi,Hailakandi_Village_2,5951,106402,7,13,0,7,4,17,6,5,8,2,2,0,2,27,0,11,111
Manipur,Churachandpur,Churachandpur_Village_13,8049,324381,3,15,1,19,8,23,6,9,13,0,2,1,6,35,0,13,154
Arunachal Pradesh,Siang,Siang_Village_1,7241,233636,5,18,0,12,4,20,6,10,4,2,2,1,3,29,0,15,131
Manipur,Kangpokpi,Kangpokpi_Village_1,4903,528728,2,13,0,5,5,9,8,1,9,0,2,0,0,31,0,12,97
Nagaland,Dimapur,Dimapur_Village_3,7190,281201,1,15,0,14,9,12,5,3,8,0,2,0,1,51,0,11,132
Manipur,Chandel,Chandel_Village_5,2462,643878,2,2,0,3,2,6,0,2,4,0,1,0,2,14,0,4,42
Arunachal Pradesh,Papum Pare,Papum Pare_Village_5,5089,982554,3,15,2,11,7,9,7,5,1,0,2,1,2,29,1,9,104
Assam,Tinsukia,Tinsukia_Village_4,2314,553633,0,2,0,5,2,5,3,3,2,1,1,1,0,15,0,4,44
Arunachal Pradesh,Lower Siang,Lower Siang_Village_7,5343,795612,2,5,1,9,2,13,1,9,4,2,1,0,6,22,0,8,85
Assam,Bongaigaon,Bongaigaon_Village_11,4908,338536,2,19,0,6,5,17,2,4,8,2,2,2,1,29,0,18,117
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_11,5691,197923,3,6,2,13,8,16,4,5,7,3,3,1,3,25,0,14,113
Assam,West Karbi Anglong,West Karbi Anglong_Village_15,2810,622469,2,4,0,2,5,13,2,0,3,0,1,0,4,16,0,11,63
Assam,Sonitpur,Sonitpur_Village_12,1413,574001,0,6,1,2,0,1,3,2,0,0,2,0,1,4,0,5,27
Arunachal Pradesh,Lohit,Lohit_Village_17,670,618317,0,0,0,2,0,1,0,2,1,0,0,0,0,4,0,4,14
Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley_Village_13,1078,259097,0,1,0,2,0,2,0,2,3,1,0,0,2,7,0,2,22
Assam,Jorhat,Jorhat_Village_18,6760,649414,3,9,0,6,9,13,7,5,7,3,2,0,5,28,0,11,108
Nagaland,Niuland,Niuland_Village_5,9049,378150,8,18,2,14,10,27,12,8,14,0,3,1,1,37,0,18,173
Sikkim,West Sikkim,West Sikkim_Village_18,5736,213000,5,15,1,14,8,16,2,6,6,0,0,1,2,23,0,14,113
Assam,West Karbi Anglong,West Karbi Anglong_Village_11,7050,360330,1,16,0,10,9,22,4,7,11,3,1,0,6,42,0,14,146
Assam,Karbi Anglong,Karbi Anglong_Village_13,9341,811332,2,19,1,13,4,19,6,8,12,2,1,0,4,52,0,22,165
Sikkim,Soreng,Soreng_Village_12,9319,377075,0,17,2,14,7,32,9,5,6,2,1,1,4,53,0,18,171
Assam,Nalbari,Nalbari_Village_16,5043,421384,1,10,3,1,8,15,2,3,9,1,2,0,2,28,0,11,96
Arunachal Pradesh,Lower Siang,Lower Siang_Village_19,6853,674553,3,12,0,7,4,16,8,8,8,0,1,1,2,44,0,13,127
Manipur,Tamenglong,Tamenglong_Village_9,7892,898625,5,14,0,12,7,21,5,9,9,2,2,0,0,34,0,12,132
Assam,Hailakandi,Hailakandi_Village_3,3172,250210,3,8,2,4,4,8,2,3,2,1,1,0,2,11,0,5,56
Manipur,Pherzawl,Pherzawl_Village_12,2644,414455,0,4,0,2,1,8,0,3,4,0,1,0,1,10,0,3,37
Assam,South Salmara-Mankachar,South Salmara-Mankachar_Village_3,3873,227257,1,4,2,4,3,12,5,8,3,2,1,1,3,18,0,6,73
Arunachal Pradesh,Tawang,Tawang_Village_19,3727,900581,1,5,1,7,1,14,3,3,1,1,1,0,2,17,1,9,67
Nagaland,Chümoukedima,Chümoukedima_Village_6,2490,227352,0,9,2,3,3,7,0,3,5,0,1,0,1,11,0,5,50
Mizoram,Saitual,Saitual_Village_18,7617,385166,1,12,1,10,9,20,6,9,8,1,0,0,4,42,0,11,134
Sikkim,Soreng,Soreng_Village_6,7553,286044,3,16,0,16,6,18,6,2,7,3,6,0,1,40,0,13,137
Manipur,Imphal West,Imphal West_Village_10,4670,302177,3,9,1,5,4,9,5,8,6,2,1,0,3,25,0,8,89
Assam,West Karbi Anglong,West Karbi Anglong_Village_4,9402,211341,8,21,3,15,8,21,10,9,16,1,4,2,7,59,0,13,197
Assam,Morigaon,Morigaon_Village_2,2552,405420,2,5,0,2,3,12,2,3,3,2,1,0,1,18,0,6,60
Sikkim,Soreng,Soreng_Village_2,6225,891787,2,15,0,6,8,20,5,3,7,3,2,0,4,34,0,12,121
Assam,Kamrup,Kamrup_Village_7,5924,468154,4,5,1,11,3,17,7,10,5,3,3,0,4,21,0,18,112
Assam,Cachar,Cachar_Village_1,4200,656968,2,7,0,9,2,12,4,2,5,0,1,0,3,19,0,5,71
Meghalaya,South West Garo Hills,South West Garo Hills_Village_5,9139,288667,7,16,1,16,8,16,3,12,14,3,2,0,6,49,0,26,179
Mizoram,Serchhip,Serchhip_Village_5,6860,226601,6,16,2,13,8,18,4,4,3,1,1,0,1,28,0,20,125
Meghalaya,West Khasi Hills,West Khasi Hills_Village_8,5310,459731,1,8,2,14,6,15,4,5,9,2,1,0,4,29,0,19,119
Sikkim,Soreng,Soreng_Village_10,6380,142608,4,18,1,11,4,18,2,7,11,2,2,1,4,30,0,15,130
Arunachal Pradesh,East Siang,East Siang_Village_20,9252,255287,6,14,2,14,11,24,6,12,16,0,10,1,3,55,0,27,201
Assam,Bongaigaon,Bongaigaon_Village_2,4542,455007,3,7,0,7,4,7,3,6,5,1,0,0,4,23,1,5,76
Nagaland,Phek,Phek_Village_13,4527,501650,1,11,0,7,4,14,2,9,6,1,1,0,0,25,0,6,87
Mizoram,Hnahthial,Hnahthial_Village_3,1476,239145,3,4,0,2,1,4,0,2,1,0,1,0,0,8,0,3,29
Arunachal Pradesh,Shi Yomi,Shi Yomi_Village_4,1946,916232,0,3,0,3,1,7,2,2,2,0,0,0,1,10,2,4,37
Mizoram,Lawngtlai,Lawngtlai_Village_6,1494,636141,0,5,0,3,0,5,2,1,3,2,1,0,0,8,0,4,34
Assam,Dhemaji,Dhemaji_Village_20,9450,315173,7,18,0,14,11,24,7,12,16,3,2,1,8,57,0,20,200
Manipur,Kakching,Kakching_Village_12,7519,653829,2,23,1,7,9,22,4,12,7,1,1,0,4,32,0,17,142
Tripura,Unakoti,Unakoti_Village_4,1160,985364,1,2,0,5,2,7,0,2,1,0,0,0,0,11,0,0,31
Arunachal Pradesh,Tirap,Tirap_Village_5,7065,664365,3,19,1,12,8,27,1,8,11,3,1,1,3,31,0,19,148
Assam,Bokajan,Bokajan_Village_12,7687,256175,5,16,2,14,6,20,5,12,11,1,1,1,6,34,0,12,146
Assam,Karbi Anglong,Karbi Anglong_Village_8,6547,528625,1,12,0,12,4,24,1,4,6,3,5,0,4,38,0,8,122
Assam,Morigaon,Morigaon_Village_11,8516,681070,6,14,1,8,12,20,6,10,10,0,1,0,3,30,0,18,139
Assam,Golaghat,Golaghat_Village_2,2202,530764,1,5,0,3,1,8,3,2,6,1,0,0,4,17,0,2,53
Mizoram,Khawzawl,Khawzawl_Village_18,8682,736408,4,14,1,8,4,21,9,16,7,4,0,0,3,56,0,11,158
Tripura,West Tripura,West Tripura_Village_6,5864,795951,3,10,1,7,3,13,4,8,8,0,1,0,4,33,0,12,107
Assam,Morigaon,Morigaon_Village_5,9549,536802,4,17,2,9,10,28,5,8,8,2,1,1,4,52,0,20,171
Nagaland,Zunheboto,Zunheboto_Village_7,3311,459836,0,8,0,6,4,14,2,2,5,0,2,0,3,17,0,4,67
Assam,Dhemaji,Dhemaji_Village_8,4068,997004,7,13,2,2,2,15,3,4,4,0,1,0,0,26,0,12,91
Assam,Tamulpur,Tamulpur_Village_10,6192,900961,1,11,0,9,4,13,1,8,12,0,1,0,2,29,0,11,102
Arunachal Pradesh,West Siang,West Siang_Village_13,7379,974244,3,15,0,7,8,20,4,4,9,2,3,1,0,33,0,10,119
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_15,1543,539589,1,2,0,1,2,6,2,0,2,1,2,0,0,5,0,1,25
Tripura,Gomati,Gomati_Village_14,6480,104895,1,20,0,9,6,14,6,4,4,1,5,0,4,31,0,8,113
Assam,Chirang,Chirang_Village_3,3489,238579,1,3,3,3,3,8,2,3,3,1,0,0,2,20,0,8,60
Meghalaya,West Garo Hills,West Garo Hills_Village_19,2370,191537,3,3,1,2,4,9,0,2,4,1,2,1,3,6,0,6,47
Nagaland,Kiphire,Kiphire_Village_18,3046,284654,3,4,1,6,2,7,2,1,5,0,0,0,3,11,0,9,54
Assam,Golaghat,Golaghat_Village_19,4581,130359,1,9,1,6,8,16,4,3,3,1,1,0,4,25,0,9,91
Arunachal Pradesh,Kra Daadi,Kra Daadi_Village_9,1745,201639,0,6,0,0,2,2,3,3,1,0,2,0,1,7,0,0,27
Arunachal Pradesh,Tirap,Tirap_Village_1,9632,498858,4,13,0,17,7,27,6,15,13,2,4,0,6,49,0,19,182
Nagaland,Niuland,Niuland_Village_16,3590,279130,0,7,0,4,1,6,2,3,5,4,0,0,1,11,0,8,52
Manipur,Imphal East,Imphal East_Village_9,7993,600641,4,13,1,10,10,15,9,9,7,2,3,1,3,25,0,14,126
Assam,Sonitpur,Sonitpur_Village_8,7511,324993,6,23,1,14,4,27,5,7,10,1,1,0,3,39,0,12,153
Arunachal Pradesh,Shi Yomi,Shi Yomi_Village_8,1022,684482,0,2,0,3,0,1,1,2,3,0,0,0,0,8,0,3,23
Assam,Cachar,Cachar_Village_18,4297,579027,2,7,1,1,5,13,2,2,7,2,0,0,1,19,0,11,73
Arunachal Pradesh,Anjaw,Anjaw_Village_4,1971,706794,2,4,0,1,2,5,3,3,2,0,1,0,1,17,0,4,45
Manipur,Kamjong,Kamjong_Village_20,7934,133276,2,18,0,14,4,19,3,12,14,2,4,1,4,35,0,17,149
Tripura,Sepahijala,Sepahijala_Village_12,8075,446663,2,23,1,7,10,15,6,5,14,2,1,0,5,40,0,18,149
Assam,Nalbari,Nalbari_Village_17,7505,731894,8,20,1,17,6,10,6,6,6,0,3,0,9,43,0,17,152
Arunachal Pradesh,Upper Subansiri,Upper Subansiri_Village_18,4472,314181,4,7,0,5,7,7,7,8,6,0,0,1,2,17,0,9,80
Arunachal Pradesh,Namsai,Namsai_Village_7,6858,612311,3,21,1,10,7,16,4,8,9,0,1,0,3,37,1,16,137
Assam,Karbi Anglong,Karbi Anglong_Village_1,1581,629057,0,1,1,2,4,5,0,1,0,0,1,0,0,8,0,1,24
Tripura,Sepahijala,Sepahijala_Village_18,1675,917392,1,5,0,3,4,2,3,0,4,0,0,0,0,13,0,5,40
Mizoram,Kolasib,Kolasib_Village_15,425,374921,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,7
Assam,Morigaon,Morigaon_Village_1,4163,853448,0,11,1,9,5,9,4,6,5,1,0,1,2,18,0,12,84
Arunachal Pradesh,West Siang,West Siang_Village_5,7708,751332,4,13,0,15,6,24,8,9,9,1,5,1,4,25,0,17,141
Manipur,Noney,Noney_Village_12,7391,345722,4,11,2,6,7,13,11,10,10,1,2,0,1,41,0,11,130
Nagaland,Mokokchung,Mokokchung_Village_8,5882,435039,5,7,0,6,1,16,5,7,12,1,3,0,2,31,0,11,107
Meghalaya,East Jaintia Hills,East Jaintia Hills_Village_18,5477,968726,3,10,1,10,10,8,3,11,3,1,3,0,7,24,0,7,101
Tripura,Gomati,Gomati_Village_5,1150,104942,0,2,1,2,3,2,1,0,1,0,1,0,0,11,0,2,26
Nagaland,Chümoukedima,Chümoukedima_Village_11,1576,710610,2,2,0,1,1,8,0,2,1,0,2,0,0,8,0,3,30
Meghalaya,East Khasi Hills,East Khasi Hills_Village_1,8500,825309,5,19,1,20,12,21,6,5,10,2,4,0,3,41,0,23,172
Manipur,Kamjong,Kamjong_Village_11,5249,858414,5,12,1,13,7,11,7,3,10,1,2,0,5,22,1,10,110
Arunachal Pradesh,Kamle,Kamle_Village_10,1530,264686,1,2,1,4,2,5,3,1,3,0,0,0,2,2,0,3,29
Manipur,Imphal West,Imphal West_Village_8,8292,240718,4,13,3,21,18,19,11,6,8,2,3,0,2,42,0,21,173
Assam,Karimganj,Karimganj_Village_7,7137,633188,4,13,2,16,10,10,8,6,6,0,2,0,1,36,0,15,129
Tripura,Gomati,Gomati_Village_10,1642,235691,2,3,0,1,0,5,3,2,2,0,2,0,0,12,0,2,34
Manipur,Imphal West,Imphal West_Village_18,3364,284019,4,5,1,5,2,12,5,5,3,3,0,0,3,13,0,7,68
Nagaland,Phek,Phek_Village_3,9826,647945,7,22,0,15,10,28,9,6,10,2,3,1,6,39,0,23,181
Meghalaya,East Khasi Hills,East Khasi Hills_Village_16,8699,685098,3,20,1,17,9,27,8,5,6,0,2,0,3,44,1,20,166
Nagaland,Kiphire,Kiphire_Village_4,627,434367,2,3,0,0,1,1,1,0,1,0,0,0,0,5,0,1,15
Arunachal Pradesh,Kurung Kumey,Kurung Kumey_Village_19,1304,132938,0,5,0,2,1,3,1,2,2,1,0,0,1,3,0,2,23
Mizoram,Kolasib,Kolasib_Village_17,1190,927630,0,4,0,1,2,2,0,2,4,1,1,0,0,5,0,1,23
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_2,7243,923927,2,11,1,10,10,14,11,8,11,0,1,2,4,42,1,18,146
Tripura,Dhalai,Dhalai_Village_12,2163,813763,3,3,0,2,1,4,1,6,7,1,0,0,1,7,0,3,39
Assam,Dibrugarh,Dibrugarh_Village_3,7605,628313,4,17,3,12,6,25,2,6,10,1,5,1,2,40,0,12,146
Mizoram,Serchhip,Serchhip_Village_12,5184,966529,0,13,0,6,7,12,4,6,7,2,0,0,3,26,0,9,95
Tripura,South Tripura,South Tripura_Village_10,2467,795578,1,6,0,2,3,4,3,3,1,0,0,0,0,11,0,4,38
Manipur,Thoubal,Thoubal_Village_12,3137,212214,1,1,0,5,3,12,1,2,0,0,0,1,3,23,0,2,54
Nagaland,Tseminyu,Tseminyu_Village_8,1028,477880,0,5,0,3,3,5,3,0,1,1,0,0,2,6,0,1,30
Assam,Bokajan,Bokajan_Village_11,7961,644559,1,22,2,9,10,18,6,9,9,1,2,0,3,50,0,13,155
Arunachal Pradesh,Longding,Longding_Village_7,1541,593152,3,4,0,1,2,3,0,1,4,0,0,0,2,10,0,3,33
Manipur,Tamenglong,Tamenglong_Village_6,4485,477114,2,9,1,7,4,15,2,6,4,0,1,0,1,22,0,7,81
Assam,Baksa,Baksa_Village_16,672,760626,0,2,0,0,0,0,1,0,2,0,0,0,1,8,0,3,17
Manipur,Kakching,Kakching_Village_11,1541,651033,1,7,0,3,3,1,2,4,3,1,0,0,2,7,0,3,37
Manipur,Pherzawl,Pherzawl_Village_13,6367,292811,2,8,0,11,3,19,4,12,7,1,0,1,3,31,0,19,121
Tripura,South Tripura,South Tripura_Village_7,5323,546688,3,19,1,3,4,13,4,7,10,2,1,0,3,23,0,11,104
Manipur,Kangpokpi,Kangpokpi_Village_10,3124,663356,4,3,1,4,4,10,2,4,5,0,1,0,3,18,0,7,66
Arunachal Pradesh,East Siang,East Siang_Village_4,5817,313487,2,12,0,7,6,18,9,4,9,1,4,1,2,35,0,6,116
Sikkim,South Sikkim,South Sikkim_Village_8,3113,628370,3,7,0,4,2,8,3,4,6,0,2,0,3,15,0,2,59
Mizoram,Hnahthial,Hnahthial_Village_10,2365,600905,2,4,0,3,1,4,2,2,1,0,1,0,2,9,0,7,38
Arunachal Pradesh,Kra Daadi,Kra Daadi_Village_1,8623,349565,2,20,3,13,10,22,7,13,12,0,1,0,2,42,0,17,164
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_4,5479,587575,5,15,0,9,5,13,4,3,8,2,5,0,3,34,0,13,119
Assam,Barpeta,Barpeta_Village_16,242,396578,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,4
Mizoram,Champhai,Champhai_Village_8,2788,562721,1,7,0,5,5,7,3,4,3,2,0,1,1,8,0,10,57
Mizoram,Aizawl,Aizawl_Village_19,4846,454161,2,11,1,7,8,10,2,3,2,0,0,0,3,27,0,6,82
Nagaland,Niuland,Niuland_Village_14,8069,309374,1,18,0,15,3,23,11,4,7,1,3,1,7,39,0,15,148
Arunachal Pradesh,Lower Siang,Lower Siang_Village_16,6411,810219,2,17,2,13,3,9,1,7,10,1,3,1,4,33,0,11,117
Meghalaya,West Jaintia Hills,West Jaintia Hills_Village_6,9098,963274,8,18,0,9,14,22,3,9,5,0,1,1,5,44,0,16,155
Nagaland,Kiphire,Kiphire_Village_19,4075,721301,3,9,1,7,5,11,1,3,3,2,0,0,2,23,0,5,75
Arunachal Pradesh,Longding,Longding_Village_1,1023,372793,0,2,0,2,1,3,3,1,0,0,0,0,0,9,0,4,25
Assam,Morigaon,Morigaon_Village_15,4355,883618,1,8,0,6,6,9,5,6,5,1,0,0,1,24,0,8,80
Assam,Kamrup,Kamrup_Village_20,7405,171603,8,14,2,11,7,19,9,1,7,2,2,0,3,38,0,6,129
Sikkim,Soreng,Soreng_Village_16,5615,588983,4,10,0,8,8,17,4,9,8,1,5,0,2,26,1,8,111
Assam,Cachar,Cachar_Village_10,4383,799233,3,7,0,6,10,10,5,6,7,1,0,0,1,26,0,12,94
Manipur,Tamenglong,Tamenglong_Village_15,4472,680189,3,10,1,11,1,10,4,3,6,0,1,0,4,16,0,11,81
Meghalaya,West Khasi Hills,West Khasi Hills_Village_16,932,949541,1,1,0,0,0,3,3,1,1,0,0,0,1,4,0,1,16
Meghalaya,West Khasi Hills,West Khasi Hills_Village_1,9843,823975,4,19,0,11,10,22,4,7,12,0,4,0,5,58,0,19,175
Arunachal Pradesh,Lepa Rada,Lepa Rada_Village_7,7952,932291,3,17,1,9,8,20,7,10,12,2,3,2,6,38,0,16,154
Assam,Lakhimpur,Lakhimpur_Village_19,5421,203896,3,7,0,8,7,18,5,5,3,1,0,0,3,34,2,15,111
